9,"Latitude","Longitude","Date","Year","Militant Leaders Killed","militant_deaths_min","militant_deaths_max","civilian_deaths_min","civilian_deaths_max","deaths_min","deaths_max","Assumed Target","Source One","Source One link","Source Two","Source Two Link","Source Three","Source Three Link","Notes"
"Makeen, South Waziristan (funeral of militants killed in earlier strike)",32.609882,69.833221,"June 23, 2009",2009,"Mullah Sangeen, the Afghan commander of TTP (though reported to have been killed two other times and he surfaced",45,45,0,38,45,83,"Baitullah Mehsud","New York Times","http://www.nytimes.com/2009/06/24/world/asia/24pstan.html?_r=1&amp;hpw","Times Online","http://www.timesonline.co.uk/tol/news/world/asia/article6567112.ece",,,
"Mami Rogha, 26 miles west of Miram Shah, North Waziristan",33.109947,70.068054,"June 19, 2007",2007,"none",32,32," ",,32,32,"Taliban and al Qaeda militants","Reuters","http://www.reuters.com/article/idUSISL13654620070619?pageNumber=1",,,,,
"Sur Pul, near Parachinar, Kurram Agency",32.520184,69.868927,"February 16, 2009",2009,"unknown"," ",,31,31,31,31,"Camp of Afghan Commander Bahram Khan Kochi","CNN","http://www.cnn.com/2009/WORLD/asiapcf/02/16/pakistan.missile.strike/index.html","New York Times","http://www.nytimes.com/2009/02/17/world/asia/17pstan.html?ref=world","GeoTV","http://www.geo.tv/2-16-2009/35249.htm",
"Near Narsikhel, Ladha, South Waziristan",32.270878,69.589462,"February 14, 2009",2009,"none",25,25,5,5,30,30,"Baitullah Mehsud","New York Times","http://www.nytimes.com/2009/02/15/world/asia/15pstan.html?_r=1","Reuters","http://www.reuters.com/article/worldNews/idUSTRE51D0XH20090214","GeoTV","http://www.geo.tv/2-14-2009/35134.htm",
"Danday Darpakhel near Miranshah, North Waziristan",33.046658,69.539337,"September 8, 2008",2008,"Abu Haris, AQ chief in Pakistan",3,3,25,25,28,28,"Abu Haris, AQ chief in Pakistan","CNN","http://www.cnn.com/2008/WORLD/asiapcf/09/09/pakistan.alqaeda.killed/index.html","Reuters","http://www.reuters.com/article/idUSISL341948",,,
"Deegan/Muhammad Khel/Pai Khel/Toor Narai villages, Datta Khel, 30km west of Miram Shah, North Waziristan",33.001755,69.713058,"February 2, 2010",2010,"unknown",14,16,13,17,27,33,"Militant training center (TALIBAN)","GeoTV","http://geo.tv/2-2-2010/58408.htm","Al Jazeera","http://english.aljazeera.net/news/asia/2010/02/201022151350906994.html","Daily Times","http://www.dailytimes.com.pk/default.asp?page=2010%5C02%5C03%5Cstory_3-2-2010_pg7_7",
"Khesoor, 18 miles east of Miram Shah, North Waziristan",32.298161,69.349136,"May 16, 2009",2009,"unknown",25,25," ",,25,25,"A madrassa (according to The News); Islamic school thought to be a training facility for militants (according to NYT)","Dawn","http://www.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/provinces/16-us-drone-attack-in-north-waziristan-3-killed-hs-08","CNN","http://www.cnn.com/2009/WORLD/asiapcf/05/16/pakistan.missile.strikes/index.html","Al Jazeera","http://english.aljazeera.net/news/asia/2009/05/20095164639783704.html",
"Damadola, Bajaur",33.010391,70.043335,"January 14, 2006",2006,"none",18,18,0,,18,18,"bu Khabab al Masri (escaped); Ayman al Zawahiri (escaped)","CNN","http://www.cnn.com/2008/WORLD/asiapcf/07/29/pakistan.strike/index.html",,,,,
"Laddha, Karwan Manza, South Waziristan (2 in same day in same location)",32.623184,69.841461,"July 8, 2009",2009,"unknown",17,40,0,23,17,63,"Baitullah Mehsud (BM)","Dawn","http://www.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/04-suspected-us-missile-strike-hits-south-waziristan-qs-08","Reuters","http://www.reuters.com/article/worldNews/idUSISL33522720090708","GeoTV","http://www.geo.tv/7-8-2009/45602.htm",
"Dhook Pir Bagh, near Wana, South Waziristan",33.089241,69.904633,"March 16, 2008",2008,"none"," ",,16,16,16,16,"house of a local tribesman","Agence France Press","http://afp.google.com/article/ALeqM5ieNDdDm_oqTjerCGSuiRSfmVk0gA",,,,,
"Mohammad Khel, near Datta Khel, North Waziristan",33.001755,69.704132,"October 3, 2008",2008,"none",16,21,0,,16,21,"Haqqani network","GeoTV","http://www.geo.tv/10-4-2008/26211.htm",,,,,
"Musa Nikow, Barmal area of Angorada, South Waziristan",33.014420,70.061188,"September 3, 2008",2008,"unknown"," ",,15,19,15,19,"Al Qaeda and Taliban militants","GeoTV","http://www.geo.tv/9-3-2008/24063.htm","New York Times","http://www.nytimes.com/2008/09/11/world/asia/11pstan.html",,,"This is the ground incursion and is NOT included in the total number of strikes, but I included it in the total number of casualties because civilians were killed from the helicopters that dropped the troops off."
"Mir Ali, North Waziristan",32.298740,69.540710,"October 31, 2008",2008,"Abu Jihad al Masri and Abu Kasha/Abu Akash-unconfirmed; now believed to have escaped",0,,15,20,15,20,"Abu Jihad al Masri (AQ propaganda)","Agence France Press","http://afp.google.com/article/ALeqM5hFRj05wy4-L2HckvAXmlqSQKJ-yQ","BBC","http://news.bbc.co.uk/2/hi/in_depth/7702679.stm",,,
"Kumsham, 22 miles south of Miram Shah, North Waziristan",32.976700,70.269241,"November 7, 2008",2008,"none",8,8,6,6,14,14,"Taliban commander Hafiz Gul Bahadar","Agence France Press","http://afp.google.com/article/ALeqM5jlbsctRKE5_0vBDyyTTr7nkLW0yg",,,,,
"Jangara, Makeen, South Waziristan",32.285973,69.988403,"July 7, 2009",2009,"unknown",14,16,0,,14,16,"Baitullah Mehsud (BM)","New York Times","http://www.nytimes.com/aponline/2009/07/07/world/AP-AS-Pakistan.html?_r=1&amp;ref=world","Voice of America","http://www.voanews.com/english/2009-07-07-voa14.cfm","Al Jazeera","http://english.aljazeera.net/news/asia/2009/07/20097784914231489.html",
"Doga area, Datta Khel, North Waziristan",32.997147,69.672546,"May 11, 2010",2010,"unknown",14,14," ",,14,14,"Vehicle and compound used by militants (UNCLEAR)","Reuters","http://www.reuters.com/article/idUSTRE6480DY20100511","AP","http://news.yahoo.com/s/ap/20100511/ap_on_re_as/as_pakistan","Al Jazeera","http://english.aljazeera.net/news/asia/2010/05/201051181854906102.html",
"Near Mir Ali, North Waziristan",32.992538,70.098953,"January 29, 2008",2008,"Abu Laith al Libi"," ",,13,13,13,13,"Abu Laith al Libi","CNN","http://www.cnn.com/2008/US/January 31/alqaeda.death/index.html","Washington Post","http://www.washingtonpost.com/wp-dyn/content/article/2008/03/27/AR2008032700007_pf.html","BBC","http://news.bbc.co.uk/2/hi/south_asia/7220823.stm",
"Azam Warsak, west of Wana, South Waziristan",32.307446,69.565430,"February 28, 2008",2008,"none",13,13,0,,13,13,"Al Qaeda and Taliban camp","Dawn","http://www.dawn.com/2008/02/28/welcome.htm#19","Washington Post","http://www.washingtonpost.com/wp-dyn/content/story/2008/03/27/ST2008032700935.html",,,
"Damadola, Bajaur",32.316151,69.462433,"May 14, 2008",2008,"Abu Suleyman Jazairi",0,,13,13,13,13,"Abu Suleyman Jazairi","Daily Times","http://www.dailytimes.com.pk/default.asp?page=2008%5C05%5C25%5Cstory_25-5-2008_pg7_1","LA Times","http://articles.latimes.com/2008/may/24/world/fg-militant24","Dawn","http://www.dawn.com/2009/02/09/top4.htm",
"Gurwak/Guvrek, North Waziristan",33.016724,69.848328,"September 5, 2008",2008,"none",5,7,7,7,12,14,"Haqqani network","Reuters","http://in.reuters.com/article/southAsiaNews/idINIndia-35333120080905","Washington Post","http://www.washingtonpost.com/wp-dyn/content/article/2008/09/05/AR2008090503649.html","New York Times","http://www.nytimes.com/2008/09/06/world/asia/06pstan.html?fta=y",
"Tol Khel on the outskirts of Miramshah, North Waziristan",33.014420,70.085907,"September 12, 2008",2008,"none",12,12,0,,12,12,"Hit a house rented by Al Badar, a Kashmiri terrorist group","Agence France Press","http://www.thestandard.com.hk/breaking_news_detail.asp?id=5916&amp;icid=4&amp;d_str=20080912",,,,,
"Garyom, near the border between North Waziristan and South Waziristan",32.751476,70.072174,"November 14, 2008",2008,"none",5,5,7,7,12,12,"“Tribal man,” Mir Gul (UNCLEAR)","Reuters","http://in.reuters.com/article/domesticNews/idINISL38258020081114",,,,,
"Nizba village, Shaktoi region, South Waziristan",32.667992,70.144958,"January 17, 2010",2010,"Shahid ullah, Hafiz Nizamuddin Storikhel, Khawarey and Mohtaj",12,20," ",,12,20,"Militant compound owned by Mehsud tribe/Hakimullah; house of Usman Jan, head of IMU (TALIBAN/OTHER)","Al Jazeera","http://english.aljazeera.net/news/asia/2010/January 20101178213701265.html","Wall Street Journal","http://online.wsj.com/article/SB10001424052748704247504575008703661959016.html","Reuters","http://www.reuters.com/article/idUSTRE60E3FO20100117","Shaktoi region is variously referred to as South Waziristan, North Waziristan, or the border region. I count its location based on the majority of reports about the strike in question."
"Barjo, Kurram Agency",32.490650,70.004883,"March 12, 2009",2009,"none",,,11,22,11,22,"Militant training camp","GeoTV","http://geo.tv/3-12-2009/37165.htm","CNN","http://www.cnn.com/2009/WORLD/asiapcf/03/12/pakistan.airstrike.drone/index.html","Washington Post","http://www.washingtonpost.com/wp-dyn/content/article/2009/03/13/AR2009031301065.html","Note, this is a very rough approximation of Barjo"
"Boya village, 12 miles west of Miram Shah, North Waziristan",32.997147,70.302887,"April 12, 2010",2010,"unknown",3,5,8,8,11,13,"Compound owned by local Taliban commander Tariq Khan","AP","http://news.yahoo.com/s/ap/20100413/ap_on_re_as/as_pakistan","GeoTV","http://geo.tv/4-12-2010/62850.htm","Agence France Press","http://news.yahoo.com/s/afp/20100412/wl_sthasia_afp/pakistanunrestusmissile",
"Sokhel village, 16 miles east of Miram Shah, North Waziristan",32.997147,69.656754,"June 21, 2010",2010,"Abu Ahmed",11,17," ",,11,17,"Government water supply plant where militants were meeting (TALIBAN/QAEDA)","The News","http://www.thenews.com.pk/updates.asp?id=106950","Tribune","http://tribune.com.pk/story/22407/10-killed-in-drone-strike-in-n-waziristan","BBC","http://news.bbc.co.uk/2/hi/south_asia/10356604.stm",
"Danday Darpa Khel, outskirts of Miram Shah, North Waziristan",34.841988,71.497650,"November 2, 2006",2006,"none",5,5,5,5,10,10,"Madrassa founded by Jalaluddin Haqqani","BBC","http://news.bbc.co.uk/2/hi/7075026.stm","Reuters","http://www.reuters.com/article/idUSISL274440","New York Times","http://www.nytimes.com/2007/11/03/world/asia/03drone.html?pagewanted=print",
"Zharki (Zera), near Mir Ali, North Waziristan",32.319633,69.501572,"January 23, 2009",2009,"none",5,5,5,5,10,10,"A militant compound run by a local named Khalil (TALIBAN)","Washington Post","http://www.washingtonpost.com/wp-dyn/content/article/2009/January 23/AR2009012304189.html","GeoTV","http://geo.tv/1-23-2009/33388.htm",,,
"Khadezai, Orakzai Agency",32.966618,70.320740,"January 4, 2009",2009,"unknown",10,12," ",,10,12,"Pakistani Taliban commander Baitullah Mehsud’s deputy, Hakimullah Mehsud (TALIBAN)","Reuters","http://www.reuters.com/article/idUSISL425281","Guardian","http://www.guardian.co.uk/uk/feedarticle/8432973","New York Times","http://www.nytimes.com/2009/04/02/world/asia/02pstan.html","this is a very rough approximation of the location of Khadezai"
"Kani Guram, four miles from Ladha, South Waziristan",32.582691,69.849014,"August 11, 2009",2009,"unknown",10,12," ",,10,12,"Taliban training camp","GeoTV","http://www.geo.tv/8-11-2009/47439.htm","Dawn","http://www.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/04-suspected-us-missile-strike-kills-eight-southwaziristan-qs-07","Washington Post","http://www.washingtonpost.com/wp-dyn/content/article/2009/08/11/AR2009081100294.html?hpid=moreheadlines",
"Dargamandi village, 3 miles NW of Miram Shah, North Waziristan",32.995419,70.316620,"September 8, 2009",2009,"unknown",10,10,0,7,10,17,"House of a tribesman named Ismail Khan in Syedgai (UNCLEAR)","Agence France Press","http://www.google.com/hostednews/afp/article/ALeqM5ig_Wmpl0NFI9qedI39BXAPcDYlJw","GeoTV","http://geo.tv/9-8-2009/48908.htm","AL Jazeera","http://english.aljazeera.net/news/asia/2009/09/20099815473888170.html",
"Near Mir Ali, North Waziristan",32.959129,70.287094,"September 24, 2009",2009,"unknown",10,10,0,7,10,17,"Haqqani network","BBC","http://news.bbc.co.uk/2/hi/south_asia/8273997.stm","AP","http://www.google.com/hostednews/ap/article/ALeqM5hkiMxbHNH0BqgpWA2ZG6VD6wVTmAD9ATSGO00","Reuters","http://www.reuters.com/article/latestCrisis/idUSSP194296",
"Damadola, Bajaur, NWFP",32.989658,70.030975,"October 24, 2009",2009,"unknown",3,25,7,8,10,33,"Maulana Faqir Mohammed, Taliban commander of Bajaur","CNN","http://edition.cnn.com/2009/WORLD/asiapcf/10/25/pakistan.helicopter.crash","Daily Times","http://www.dailytimes.com.pk/default.asp?page=2009%5C10%5C25%5Cstory_25-10-2009_pg1_3","The Nation (Pakistan)","http://www.nation.com.pk/pakistan-news-newspaper-daily-english-online/Regional/Islamabad/24-Oct-2009/Death-toll-rises-to-27-in-Bajaur-drone-attack",
"Gaddi Maramay in Datta Khel, North Waziristan",32.869205,70.133972,"December 17, 2009",2009,"Zuhaib al-Zahibi, “well-known al Qaeda commander”",10,15," ",,10,15,"Haqqani network (HAQQANI/TALIBAN/QAEDA) (though reports are mixed)","BBC","http://news.bbc.co.uk/2/hi/south_asia/8417756.stm","CNN","http://edition.cnn.com/2009/WORLD/asiapcf/12/17/pakistan.drone","GeoTV","http://geo.tv/12-17-2009/54938.htm",
"Shaktoi village in the Pasalkot region of North Waziristan",32.991962,69.730911,"January 14, 2010",2010,"Abdul Basit Usman",10,18," ",,10,18,"Hakimullah Mehsud (Taliban)","New York Times","http://www.nytimes.com/2010/January 15/world/asia/15pstan.html?ref=world","AP","http://news.yahoo.com/s/ap/20100114/ap_on_re_as/as_pakistan","Agence France Press","http://news.yahoo.com/s/afp/20100114/ts_afp/pakistanunrestustaliban",
"Gorwek, near Afghan border, North Waziristan",32.995995,69.704819,"May 11, 2010",2010,"unknown",10,10," ",,10,10,"Compound used by militants (UNCLEAR)","Reuters","http://www.reuters.com/article/idUSTRE6480DY20100511","AP","http://news.yahoo.com/s/ap/20100511/ap_on_re_as/as_pakistan","GeoTV","http://geo.tv/5-11-2010/64728.htm",
"Bhagar, 22 miles west of Wana, South Waziristan",32.288296,69.439774,"August 13, 2008",2008,"Abdul Rehman",9,25," ",,9,25,"Abdul Rehman, Taliban commander","GeoTV","http://www.geo.tv/8-13-2008/22577.htm","Reuters","http://www.reuters.com/article/idUSSP214742","Long War Jounral","http://www.longwarjournal.org/archives/2008/08/crossborder_strike_t.php",
"Tati;20km east of Miram Shah, North Waziristan",32.998299,69.723358,"October 9, 2008",2008,"unknown",6,6,3,3,9,9,"Faisal Mohammad Sultan, a tribesman sympathetic to the militants cause; or house of local Taliban commander, Hafiz Sahar Gul","Reuters","http://www.reuters.com/article/newsOne/idUSTRE4986NO20081009","The News","http://www.thenews.com.pk/updates.asp?id=57380",,,
"Shah Alam, Birmal, near Wana, South Waziristan",32.524815,69.883347,"June 18, 2009",2009,"unknown",9,9,0,4,9,13,"Maulavi Nazir (TALIBAN)","BBC","http://news.bbc.co.uk/2/hi/south_asia/8106686.stm","Al Jazeera","http://english.aljazeera.net/news/asia/2009/06/200961875855867303.html","CNN","face=""Times New Roman"">, </FONT></SPAN><A href=""http://edition.cnn.com/2009/WORLD/asiapcf/06/18/pakistan.drone.attack",
"Darpa Khel, outside Miram Shah, North Waziristan",32.524239,69.794769,"August 21, 2009",2009,"unknown"," ",,9,21,9,21,"Haqqani network","Reuters","http://www.reuters.com/article/worldNews/idUSTRE57J6WM20090820","GeoTV","http://geo.tv/8-21-2009/47978.htm","AP","http://www.google.com/hostednews/ap/article/ALeqM5hkiMxbHNH0BqgpWA2ZG6VD6wVTmAD9A76K501",
"Inzarkas village, Datta Khel, North Waziristan",32.990234,70.315933,"May 9, 2010",2010,"unknown",9,10,0,1,9,11,"Militant compound (UNCLEAR)","Reuters","http://www.reuters.com/article/idUSTRE6480DY20100509","AP","http://news.yahoo.com/s/ap/20100509/ap_on_re_as/as_pakistan","Agence France Press","http://news.yahoo.com/s/afp/20100509/wl_asia_afp/pakistanunrest",
"Salamat Keley, Zamazola, 60km north of Wana, South Waziristan",33.016724,70.079041,"January 16, 2007",2007,"none",8,30," ",,8,30,"Al Qaeda and Taliban camp","Reuters Alertnet","http://www.alertnet.org/thenews/newsdesk/SP307520.htm","BBC","http://news.bbc.co.uk/2/hi/south_asia/6280153.stm","Washington Post","http://www.washingtonpost.com/wp-dyn/content/article/2007/January 15/AR2007011501358_pf.html","(some sources say this strike was operated by the Pakistani military; a resident told Reuters he saw a drone)"
"Wana, South Waziristan",32.311508,69.320984,"August 20, 2008",2008,"none",,,8,8,8,8,"House of Haji Yaqub, al Qaeda militant sympathizer; Mullah Nazir, Taliban rival of Baitullah Mehsud","Agence France Press","http://afp.google.com/article/ALeqM5grLj6xRsGSHp7FJtyLelxa6i3omA",,,,,
"Dilfaraz or Ghangi Khel, near Wana, South Waziristan",32.953369,70.262375,"January 23, 2009",2009,"none",,,8,10,8,10,"Gangi Khel in South Waziristan is located in the tribal areas commanded by Mullah Nazir, a Taliban chieftain and rival of Pakistani Taliban leader Baitullah Mehsud.","Washington Post","http://www.washingtonpost.com/wp-dyn/content/article/2009/January 23/AR2009012304189.html","GeoTV","http://geo.tv/1-23-2009/33388.htm","Long War Jounral","http://www.longwarjournal.org/archives/2009/January us_strikes_al_qaeda.php",
"Sararogha, near Wana, South Waziristan",33.683212,70.290527,"January 3, 2009",2009,"unknown",4,4,4,4,8,8,"Taliban stronghold; Mullah Nazir, Baitullah Mehsud’s rival","GeoTV","http://www.geo.tv/3-1-2009/36276.htm","Washington Post","http://www.washingtonpost.com/wp-dyn/content/article/2009/03/January AR2009030101890.html","New York Times","http://www.nytimes.com/2009/03/02/world/asia/02pstan.html",
"Gariwan, 19 miles south of Miram Shah, North Waziristan",32.320793,69.623795,"July 17, 2009",2009,"none",4,5,4,5,8,10,"Taliban militant camp","AP","http://www.google.com/hostednews/ap/article/ALeqM5hkiMxbHNH0BqgpWA2ZG6VD6wVTmAD99G6QO00","Agence France Press","http://www.google.com/hostednews/afp/article/ALeqM5hZ66bdnIqS9eEjbuOO1H9C2eL7Lg","Reuters","http://in.reuters.com/article/southAsiaNews/idINIndia-41120520090717",
"Machi Khel, near Mir Ali, North Waziristan",32.509182,69.798889,"September 7, 2009",2009,"Ilyas Kashmiri",3,5,5,7,8,12,"Militant stronghold in a madrassa (QAEDA)","AP","http://www.google.com/hostednews/ap/article/ALeqM5hkiMxbHNH0BqgpWA2ZG6VD6wVTmAD9AIJ56G0","Al Jazeera","http://english.aljazeera.net/news/asia/2009/09/200997163712748731.html","Dawn","http://www.dawn.com/wps/wcm/connect/dawn-content-library/dawn/news/pakistan/provinces/06-four-killed-in-drone-attack-in-north-waziristan-06-rs",
